Category,Word,Meaning,Phrase,Expressions,Media
general,Beautiful,Pleasing to look at; attractive,The sunset was beautiful over the calm lake.,This is beautiful.; I like beautiful.,media/20231115_아린탄천에서.mp4
general,Helpful,Giving or ready to give help,My neighbor is always helpful when I need assistance.,You're very helpful.; That was really helpful advice.,media/20231115_아린탄천에서.mp4
general,Creative,Having the ability to make new things,She is very creative with her art projects.,Be creative with your ideas.; That's a creative solution.,media/20231115_아린탄천에서.mp4
general,Careful,Taking care to avoid danger or mistakes,Be careful when crossing the busy street.,This is careful.; I like careful.,media/20231115_아린탄천에서.mp4
general,Popular,Liked by many people,Pizza is a popular food choice among teenagers.,This is popular.; I like popular.,
general,Modern,Relating to the present time,The modern technology makes our lives easier.,This is modern.; I like modern.,
general,Simple,Easy to understand or do,This recipe is simple and quick to make.,This is simple.; I like simple.,
general,Natural,"Existing in nature, not made by humans",I prefer natural foods over processed ones.,This is natural.; I like natural.,
general,Special,Better or more important than usual,Today is a special day for our family.,This is special.; I like special.,
general,Perfect,Having no mistakes or faults,The weather is perfect for a picnic today.,This is perfect.; I like perfect.,
general,Honest,Telling the truth; not lying,An honest person always tells the truth.,This is honest.; I like honest.,
general,Generous,Willing to give more than necessary,My grandfather was generous with his time and money.,This is generous.; I like generous.,
general,Patient,Able to wait calmly,Good teachers are patient with slow learners.,This is patient.; I like patient.,
general,Confident,Feeling sure about your abilities,She felt confident about passing the exam.,This is confident.; I like confident.,
general,Curious,Wanting to know or learn about things,Children are naturally curious about the world.,This is curious.; I like curious.,
general,Organized,Arranged in a neat and logical way,Keep your desk organized for better productivity.,This is organized.; I like organized.,
general,Relaxed,Free from tension and anxiety,I feel relaxed when I listen to music.,This is relaxed.; I like relaxed.,
general,Successful,Achieving desired results,Hard work leads to successful outcomes.,This is successful.; I like successful.,
general,성남 탄천,성남의 중심을 통과하는 개천,아린이가 탄천에서 할머니와 놀고 있어요,탄천은 물이 말고 공기가 깨끗하여 많은 시민이 운동과 휴식을 하기 좋은 물가 공원이예요; 새벽마다 많은 사람들이 탄천에 나와 운전해요,media/20231115_아린탄천에서.mp4
general,일본 혼슈,일본의 4 개 큰섬 가운데 중앙에 있는 가장 큰섬,일본 여행,동경은 일본 혼슈에 있어요; 혼슈는 일본에서 제일 큰 섬이예요,media/parrots.jpg
general,Happy,Feeling joy and pleasure,Children are happy when they play with friends.,I am happy today.; Happy people smile often.,
general,Smart,Having intelligence and good judgment,Smart students ask questions to learn more.,She is very smart.; Smart people study hard.,
general,Strong,Having physical power,Exercise makes your muscles strong and healthy.,He is strong.; Strong people help others.,
general,Kind,Having a good and caring nature,Kind people help others without expecting rewards.,Be kind to animals.; Kind words make difference.,
general,Brave,Not afraid in dangerous situations,The brave firefighter saved the family from fire.,Be brave.; Brave people face fears.,
general,Polite,Having good manners,Polite children say please and thank you.,Always be polite.; Polite behavior is good.,
general,Funny,Causing laughter,The funny movie made everyone in theater laugh.,That's really funny.; Funny stories entertain us.,
general,Quick,Moving or happening fast,The quick rabbit ran away from the dog.,Be quick.; Quick thinking helps.,
general,Quiet,Making little or no noise,Please be quiet during the library study time.,Stay quiet.; Quiet places help concentration.,
general,Fair,Treating everyone equally,The fair teacher gives everyone equal chances.,Be fair to everyone.; Fair rules apply equally.,
general,Mommy at Jeju Island in 1970,Beautiful young woman is staring at horizons from a ship,Beautiful woman,,media/그림1.jpg
science,Animal,A living creature that can move and eat,The zoo has many different animals from around the world.,This is animal.; I like animal.,
science,Plant,A living thing that grows in soil,Water the plant every morning to keep it healthy.,This is plant.; I like plant.,
science,Water,Clear liquid that falls as rain,Drink plenty of water to stay healthy.,This is water.; I like water.,
science,Energy,Power used to make things work,Solar panels collect energy from the sun.,This is energy.; I like energy.,
science,Nature,The physical world including plants and animals,Spending time in nature helps reduce stress.,This is nature.; I like nature.,
science,Weather,Conditions outside like rain or sunshine,Check the weather before planning outdoor activities.,The weather is nice today.; Check the weather forecast.,
science,Climate,The usual weather in a place,The climate here is warm and sunny most of the year.,The climate is pleasant.; Climate affects agriculture.,
science,Ocean,Very large area of salt water,The Pacific Ocean is the largest ocean on Earth.,The ocean is vast.; Swim in the ocean.,
science,Forest,Large area covered with trees,Many wild animals live in the forest.,The forest is green.; Walk through the forest.,
science,Mountain,Very high area of land,We climbed the mountain to see the beautiful view.,The mountain is tall.; Climb the mountain.,
science,River,Large stream of water flowing to the sea,The river flows through the center of our city.,The river flows gently.; Cross the river carefully.,
science,Earth,The planet we live on,Earth is the only planet known to have life.,Earth is beautiful.; Take care of Earth.,
science,Space,The area beyond Earth where stars exist,Astronauts travel to space in rockets.,Space is very big.; Astronauts travel to space.,
science,Science,Study of the natural world,Science helps us understand how things work.,I love science class.; Science explains many things.,
science,Health,Being free from illness,Exercise and good food are important for health.,Health comes first.; Good health is wealth.,
science,Medicine,Treatment used to cure illness,Take your medicine three times a day.,Medicine heals illness.; Take medicine as directed.,
science,Doctor,Person who treats sick people,Visit the doctor if you feel unwell.,The doctor helps people.; Visit your doctor regularly.,
science,Environment,The natural world around us,We must protect the environment for future generations.,Protect the environment.; The environment is changing.,
science,Temperature,How hot or cold something is,The temperature today is perfect for swimming.,The temperature is hot.; Check the water temperature.,
science,Experiment,Test done to learn something new,We did a science experiment in class today.,We did an experiment.; The experiment was fun.,
science,Discovery,Finding something new,The discovery of electricity changed the world.,What a great discovery!; Scientists make discoveries.,
science,Invention,Something created for first time,The invention of the wheel helped transportation.,That's a useful invention.; Inventions make life easier.,
science,Solar,Related to the sun,Solar panels use sunlight to create electricity.,Solar energy is clean.; Use solar power.,
science,Cell,Smallest unit of living things,All plants and animals are made of cells.,Cells are very small.; Every cell has function.,
science,Bone,Hard parts inside body,Strong bones support your body weight.,Exercise strengthens bones.; Bones protect organs.,
science,Blood,Red liquid that flows in body,Blood carries oxygen to all body parts.,Blood is important.; Heart pumps blood.,
science,Brain,Organ that controls thinking,The brain controls all body functions.,Use your brain.; Brain controls everything.,
science,Gravity,Force that pulls things down,Gravity makes things fall to the ground.,Gravity pulls everything down.; Gravity keeps us grounded.,
science,Electricity,Power that makes lights work,Electricity powers our computers and phones.,Electricity is useful.; Save electricity.,
science,Chemical,Substance used in science,Water is a chemical made of hydrogen and oxygen.,Chemicals can be dangerous.; Handle chemicals carefully.,
business,Work,Activity done to earn money,I work at a local restaurant on weekends.,I work every day.; Work can be fun.,
business,Job,Regular paid employment,She found a good job at the bank.,I need a job.; My job is interesting.,
business,Money,Coins and notes used to buy things,Save your money for something special.,Save your money.; Money can't buy happiness.,
business,Business,Activity of buying and selling,My uncle owns a small business in town.,Business is growing.; Start your own business.,
business,Company,Organization that sells goods or services,The company employs over 100 people.,The company is hiring.; Our company is successful.,
business,Customer,Person who buys goods or services,Good customer service is very important.,The customer is happy.; Help every customer.,
business,Product,Something made to be sold,This product is very popular with young people.,This product is great.; We sell quality products.,
business,Service,Work done to help customers,The hotel provides excellent room service.,Good service matters.; The service was excellent.,
business,Price,Amount of money something costs,The price of gas has increased this month.,The price is fair.; What's the price?,
business,Sale,Act of selling something,The store is having a big sale this weekend.,There's a big sale.; The sale starts tomorrow.,
business,Profit,Money gained from business,The company made a good profit last year.,The profit increased.; We made a good profit.,
business,Market,Place where things are bought and sold,We buy fresh vegetables at the local market.,Go to the market.; The market is busy.,
business,Office,Place where business work is done,My office is on the third floor of the building.,I work in an office.; The office is closed.,
business,Manager,Person who controls a business or team,The manager held a meeting with all employees.,The manager is nice.; Ask the manager.,
business,Employee,Person who works for a company,Every employee received a bonus this Christmas.,Every employee matters.; She's a good employee.,
business,Meeting,Gathering of people to discuss business,We have a team meeting every Monday morning.,We have a meeting.; The meeting starts soon.,
business,Contract,Legal agreement between people or companies,Read the contract carefully before signing it.,Sign the contract.; Read the contract carefully.,
business,Investment,Money put into something to make profit,Real estate can be a good investment.,This is a good investment.; Investment takes patience.,
business,Budget,Plan for spending money,Make a monthly budget to control your expenses.,Make a budget.; Stay within your budget.,
business,Success,Achievement of desired goals,Hard work and dedication lead to success.,Success takes time.; Celebrate your success.,
business,Goal,Something you want to achieve,Set a goal and work hard to reach it.,Reach your goal.; Goals give direction.,
business,Plan,Idea about what to do,Make a plan before starting any project.,Follow the plan.; Good plans succeed.,
business,Team,Group working together,Our team works together to finish projects.,Join the team.; Teamwork makes success.,
business,Idea,Thought about something new,She had a great idea for the school project.,That's a good idea.; Ideas create solutions.,
business,Store,Place where things are sold,The grocery store sells fresh food daily.,Go to the store.; The store is open.,
business,Sell,Give something for money,They sell books at the school bookstore.,Sell your old toys.; Stores sell products.,
business,Buy,Get something by paying money,We buy groceries every Saturday morning.,Buy what you need.; Don't buy unnecessary things.,
business,Save,Keep money for future use,Save some money each week for emergencies.,Save your money.; Saving is important.,
business,Spend,Use money to buy things,Don't spend all your money on games.,Spend money wisely.; Think before you spend.,
business,Earn,Get money by working,Students can earn money by helping neighbors.,Earn your money.; Work hard to earn.,
literature,Story,"Description of events, real or imaginary",Grandma told us an interesting story about her childhood.,Tell me a story.; That's a great story.,
literature,Book,Set of pages with writing or pictures,I borrowed a book from the library yesterday.,I love this book.; Read a good book.,
literature,Author,Person who writes books or stories,The author signed copies of her new book.,The author is famous.; Who's your favorite author?,
literature,Character,Person in a story or play,Harry Potter is the main character in the series.,The main character is brave.; I like this character.,
literature,Hero,Main good character in a story,The hero saved the village from danger.,The hero saves everyone.; You're my hero.,
literature,Adventure,Exciting and dangerous experience,The book describes an adventure in the jungle.,What an adventure!; Life is an adventure.,
literature,Mystery,Something that is difficult to understand,The detective solved the mystery of the missing jewels.,It's a mystery.; Solve the mystery.,
literature,Fiction,"Stories that are made up, not real",I enjoy reading fiction more than factual books.,I read fiction books.; Fiction can be exciting.,
literature,Poetry,Writing that expresses feelings in verse,She writes beautiful poetry about nature.,Poetry is beautiful.; Write some poetry.,
literature,Novel,Long story book,This novel took me two weeks to finish reading.,This novel is long.; I finished the novel.,
literature,Drama,Play performed in theater,The school is performing a drama next month.,The drama was moving.; Life is full of drama.,
literature,Comedy,Funny play or story,We watched a comedy that made everyone laugh.,I love comedy shows.; That comedy was funny.,
literature,Poem,Piece of writing in verse,She recited a poem about friendship.,Recite a poem.; Write a short poem.,
literature,Reading,Activity of looking at and understanding words,Reading books improves your vocabulary.,Reading is fun.; I enjoy reading.,
literature,Writing,Activity of creating text,Good writing takes practice and patience.,Writing takes practice.; Good writing is clear.,
literature,Language,System of communication using words,English is spoken as a second language worldwide.,Learn a new language.; Language connects people.,
literature,Word,Single unit of language,Learn a new word every day to improve your English.,That's a new word.; Choose your words carefully.,
literature,Sentence,Group of words expressing a complete thought,Write a sentence using your new vocabulary word.,Write a sentence.; That's a long sentence.,
literature,Page,One side of a sheet in a book,Turn to page 50 to continue the story.,Turn the page.; Read page ten.,
literature,Chapter,Section of a book,Each chapter in this book tells a different story.,This chapter is interesting.; Start the next chapter.,
literature,Library,Place with many books to read,The library is quiet place for reading and study.,Go to the library.; The library has books.,
literature,Fairy tale,Magical story for children,Cinderella is a famous fairy tale loved by children.,Read fairy tales.; Fairy tales teach lessons.,
literature,Lesson,Something to be learned,Every story teaches us an important lesson.,Learn the lesson.; Lessons help us grow.,
literature,Information,Facts about something,Books contain lots of useful information.,Find good information.; Information helps learning.,
literature,Knowledge,Things you know and understand,Reading books increases your knowledge about world.,Gain more knowledge.; Knowledge is power.,
literature,Imagination,Ability to create pictures in mind,Use your imagination to create wonderful stories.,Use your imagination.; Imagination creates magic.,
literature,Favorite,Thing you like most,What is your favorite book to read?,That's my favorite.; Everyone has favorites.,
literature,Magazine,Book with pictures and short articles,The magazine has interesting articles and photos.,Read the magazine.; Magazines are colorful.,
literature,Newspaper,Daily paper with news,The newspaper tells us what happens daily.,Read the newspaper.; Newspapers give news.,
literature,Dictionary,Book explaining word meanings,Use dictionary to find meanings of new words.,Check the dictionary.; Dictionary explains words.,
travel,Travel,Go from one place to another,Many people travel during summer vacation.,I love to travel.; Travel broadens the mind.,
travel,Trip,Journey to a place and back,We're planning a trip to the mountains next weekend.,Plan a trip.; The trip was amazing.,
travel,Journey,Act of traveling from one place to another,The journey by train was comfortable and scenic.,The journey begins.; What a long journey.,
travel,Vacation,Time spent away from work for rest,We had a wonderful vacation at the beach.,I need a vacation.; Vacation time is here.,
travel,Hotel,Building where travelers can stay,The hotel room had a beautiful view of the ocean.,The hotel is comfortable.; Book a hotel room.,
travel,Airport,Place where airplanes take off and land,Arrive at the airport two hours before your flight.,Meet me at the airport.; The airport is busy.,
travel,Flight,Journey by airplane,Our flight to Paris was delayed by two hours.,My flight is delayed.; Book a flight online.,
travel,Ticket,Paper showing you paid for travel,Keep your ticket safe until the end of your journey.,Show your ticket.; Buy a ticket now.,
travel,Suitcase,Container for clothes when traveling,Pack your suitcase the night before traveling.,Pack your suitcase.; My suitcase is heavy.,
travel,Tourist,Person who visits places for pleasure,Many tourists visit this city every summer.,I'm a tourist here.; Many tourists visit here.,
travel,Guide,Person who shows tourists around,The tour guide explained the history of the castle.,The guide knows everything.; Hire a tour guide.,
travel,Museum,Building displaying historical objects,The art museum has paintings from famous artists.,Visit the museum.; The museum is educational.,
travel,Beach,Sandy area beside the sea,Children love playing in the sand at the beach.,Relax on the beach.; The beach is sandy.,
travel,Mountain,Very high area of land,The view from the mountain top was breathtaking.,The mountain is tall.; Climb the mountain.,
travel,City,Large town with many people,New York is a busy city that never sleeps.,The city is exciting.; I love big cities.,
travel,Country,Nation with its own government,France is a beautiful country to visit.,My country is wonderful.; Visit a foreign country.,
travel,Culture,Way of life of a group of people,Learning about local culture makes travel more interesting.,Ancient culture is rich.; Preserve our culture.,
travel,Food,Things we eat,Try the local food when you visit new places.,Try local food.; The food is delicious.,
travel,Language,Way people communicate,Learning basic phrases in the local language is helpful.,Learn a new language.; Language connects people.,
travel,Map,Drawing showing where places are,Use a map to find your way around the new city.,Use a map.; The map shows directions.,
travel,Train,Long vehicle that travels on tracks,The train carries many people to different cities.,Take the train.; Trains are fast.,
travel,Bus,Large vehicle for many passengers,The school bus takes children to school safely.,Catch the bus.; The bus is coming.,
travel,Car,Vehicle for small group of people,Our family car takes us on weekend trips.,Drive the car.; Cars need gas.,
travel,Plane,Flying vehicle for long distances,The plane flies high above the clouds.,Fly in plane.; Planes travel fast.,
travel,Road,Path for cars to drive on,The road leads to the beautiful mountain lake.,Take this road.; The road is long.,
travel,Bridge,Structure built over water or valley,The bridge connects two sides of the river.,Cross the bridge.; The bridge is strong.,
travel,Station,Place where trains or buses stop,Wait at the station for the next train.,Go to the station.; The station is busy.,
travel,Distance,Space between two places,The distance between home and school is short.,What's the distance?; Long distance takes time.,
travel,Direction,Way to go to reach place,Ask for directions if you get lost.,Show me directions.; Follow the directions.,
travel,Adventure,Exciting experience,Camping in forest was a great adventure.,What an adventure!; Adventures are exciting.,
history,History,Study of past events,History helps us understand how the world changed.,History is interesting.; Learn from history.,
history,Past,Time before now,"In the past, people traveled by horse and carriage.","In the past, things were different.; The past teaches us.",
history,Ancient,"Very old, from long ago",Ancient Egypt had powerful kings called pharaohs.,Ancient civilizations fascinate me.; These are ancient ruins.,
history,War,Fighting between countries or groups,The war ended when both sides agreed to peace.,War brings suffering.; The war ended peacefully.,
history,Peace,Time when there is no fighting,"After years of conflict, peace finally came to the region.",We want peace.; Peace is precious.,
history,King,Male ruler of a country,The king lived in a magnificent castle.,The king ruled wisely.; Long live the king.,
history,Queen,Female ruler of a country,The queen was loved by all her people.,The queen was beloved.; The queen wore a crown.,
history,Castle,Large strong building where rulers lived,The medieval castle still stands on the hill.,The castle is magnificent.; Visit the old castle.,
history,Battle,Fight between armies,The famous battle took place near the river.,The battle was fierce.; They won the battle.,
history,Discovery,Finding something new,The discovery of America changed world history.,What a great discovery!; The discovery changed everything.,
history,Explorer,Person who travels to unknown places,The brave explorer sailed across dangerous seas.,The explorer was brave.; Explorers discover new lands.,
history,Culture,Way of life of a group of people,Ancient Greek culture influenced many other civilizations.,Ancient culture is rich.; Preserve our culture.,
history,Art,Creative works like paintings and sculptures,Renaissance art is displayed in museums worldwide.,Art expresses emotions.; I love classical art.,
history,Religion,Belief in gods or spiritual ideas,Religion played an important role in ancient societies.,Religion brings comfort.; Respect all religions.,
history,Government,Group of people who rule a country,The government makes laws for all citizens to follow.,The government serves people.; Good government is important.,
history,Invention,Something created for the first time,The invention of the wheel changed transportation forever.,What a useful invention!; Inventions change lives.,
history,Revolution,Big change in how things are done,The industrial revolution changed how people worked.,The revolution changed society.; Ideas can start revolutions.,
history,Empire,Group of countries ruled by one power,The Roman Empire was one of the largest in history.,The empire was vast.; Build your own empire.,
history,Tradition,Custom passed from older to younger people,Family traditions connect us to our ancestors.,Family traditions matter.; Keep the tradition alive.,
history,Monument,Structure built to remember important events,The monument honors soldiers who died in the war.,The monument is impressive.; Visit the war monument.,
history,Hero,Person who does brave things,The hero saved many people during the flood.,He's a real hero.; Heroes help others.,
history,Leader,Person who guides others,A good leader helps people make right decisions.,She's our leader.; Leaders guide people.,
history,Soldier,Person who fights for country,Brave soldiers protect our country from enemies.,The soldier is brave.; Soldiers serve country.,
history,Freedom,Ability to do what you want,Freedom means you can choose your own path.,Freedom is precious.; We have freedom.,
history,Victory,Winning in battle or competition,The team celebrated their victory in the game.,Victory feels good.; They won victory.,
history,Change,Making something different,People can change the world with good ideas.,Change is good.; Things always change.,
history,Future,Time that will come later,Students study hard to build better future.,The future is bright.; Plan for future.,
history,Memory,Remembering things from past,We keep memory of important events alive.,That's good memory.; Memory helps learning.,
history,Story,Account of past events,Grandparents tell stories about old times.,Tell me story.; Stories teach lessons.,
history,Legend,Old story passed down,The legend tells about brave knight's adventures.,That's ancient legend.; Legends inspire people.,
geography,Geography,Study of Earth's surface and features,Geography class taught us about different countries.,Geography is fascinating.; Study world geography.,
geography,Earth,The planet where we live,Earth is the third planet from the sun.,Earth is beautiful.; Take care of Earth.,
geography,Continent,Very large area of land,Asia is the largest continent in the world.,Asia is the largest continent.; Visit every continent.,
geography,Ocean,Very large area of salt water,The Atlantic Ocean separates Europe and America.,The ocean is vast.; Swim in the ocean.,
geography,Country,Area with its own government,Canada is a country in North America.,My country is wonderful.; Visit a foreign country.,
geography,City,Large town where many people live,London is the capital city of England.,The city is exciting.; I love big cities.,
geography,River,Large stream of water,The Amazon River flows through South America.,The river flows gently.; Cross the river carefully.,
geography,Mountain,Very high area of land,Mount Everest is the highest mountain on Earth.,The mountain is tall.; Climb the mountain.,
geography,Desert,Very dry area with little water,The Sahara Desert covers much of North Africa.,The desert is hot.; Cross the desert safely.,
geography,Forest,Large area covered with trees,The rainforest is home to many animal species.,The forest is green.; Walk through the forest.,
geography,Island,Piece of land surrounded by water,Japan is an island nation in the Pacific Ocean.,The island is peaceful.; Live on a tropical island.,
geography,Lake,Large area of water surrounded by land,We went fishing at the beautiful mountain lake.,The lake is calm.; Fish in the lake.,
geography,Climate,Usual weather in a place,The tropical climate is hot and humid year-round.,The climate is pleasant.; Climate affects agriculture.,
geography,Population,Number of people living in a place,The city's population has grown rapidly in recent years.,The population is growing.; Count the population.,
geography,Capital,Most important city in a country,Paris is the capital of France.,Paris is the capital.; Visit the capital city.,
geography,Border,Line separating two countries,Show your passport when crossing the border.,Cross the border.; The border is secure.,
geography,Coast,Land next to the sea,The west coast has beautiful beaches and cliffs.,Walk along the coast.; The coast is rocky.,
geography,Valley,Low area between hills or mountains,The green valley was perfect for farming.,The valley is green.; Drive through the valley.,
geography,North,Direction toward the top of maps,Canada is north of the United States.,Go north.; North is cold.,
geography,South,Direction toward the bottom of maps,We drove south for our winter vacation.,Travel south.; South is warmer.,
geography,East,Direction where sun rises,The sun rises in the east every morning.,Go east.; East is sunrise direction.,
geography,West,Direction where sun sets,The sun sets in the west every evening.,Head west.; West is sunset direction.,
geography,World,All the countries and people on Earth,People from around world speak different languages.,The world is big.; Explore the world.,
geography,Map,Picture showing countries and places,Look at the map to find your country.,Use the map.; Maps show locations.,
geography,Weather,"Rain, sun, wind, and temperature outside",Today's weather is perfect for outdoor games.,Weather is nice.; Check the weather.,
geography,Season,Time of year like summer or winter,Spring is the season when flowers bloom.,What season is it?; Each season is different.,
geography,Hot,Having high temperature,Desert places are very hot during the day.,It's hot today.; Hot weather needs water.,
geography,Cold,Having low temperature,Mountain tops are cold even in summer.,It's cold outside.; Cold weather needs coats.,
geography,Rain,Water falling from clouds,Plants need rain to grow big and strong.,It's going to rain.; Rain helps plants.,
geography,Sun,Bright star that gives light and heat,The sun gives us light during the day.,The sun is bright.; Sun makes plants grow.,
health,Health,Being free from illness,Good health is more important than wealth.,Health comes first.; Good health is wealth.,
health,Doctor,Person who treats sick people,Visit the doctor if you don't feel well.,The doctor helps people.; Visit your doctor regularly.,
health,Medicine,Treatment for illness,Take your medicine with water after meals.,Medicine heals illness.; Take medicine as directed.,
health,Hospital,Place where sick people are treated,The new hospital has the latest medical equipment.,The hospital is clean.; She works at the hospital.,
health,Exercise,Physical activity to stay healthy,Regular exercise helps keep your body strong.,Exercise every day.; Exercise keeps you fit.,
health,Diet,Food and drink regularly consumed,A healthy diet includes lots of fruits and vegetables.,Eat a healthy diet.; My diet includes vegetables.,
health,Nutrition,Process of getting food needed for health,Good nutrition is essential for growing children.,Nutrition is important.; Good nutrition prevents disease.,
health,Fitness,Being physically healthy and strong,The gym helps people improve their fitness level.,Fitness requires effort.; Join a fitness center.,
health,Sleep,Natural rest when eyes are closed,Adults need about eight hours of sleep each night.,Get enough sleep.; Sleep helps you recover.,
health,Stress,Feeling worried or pressured,Too much stress can harm your physical health.,Reduce your stress.; Stress affects health.,
health,Vitamins,Substances needed for good health,Fruits contain vitamins that boost your immune system.,Take your vitamins.; Vitamins boost immunity.,
health,Illness,Disease or period of being sick,Wash your hands regularly to prevent illness.,Prevent illness.; Recovery from illness takes time.,
health,Recovery,Process of getting better after illness,Rest and proper care speed up recovery time.,Recovery is slow.; Wish you a quick recovery.,
health,Prevention,Stopping something bad from happening,Prevention is better than cure for most diseases.,Prevention is key.; Focus on disease prevention.,
health,Treatment,Medical care for illness or injury,Early treatment can prevent serious complications.,Treatment is effective.; Seek proper treatment.,
health,Symptoms,Signs that show someone is sick,Fever and headache are common cold symptoms.,Watch for symptoms.; The symptoms are mild.,
health,Checkup,Medical examination to check health,Get a regular checkup to monitor your health.,Get a checkup.; Regular checkups are important.,
health,Hygiene,Practices to maintain health and cleanliness,Good personal hygiene prevents many infections.,Practice good hygiene.; Hygiene prevents infection.,
health,Mental,Related to the mind and emotions,Mental health is just as important as physical health.,Mental health matters.; Stay mentally strong.,
health,Wellness,State of being healthy and happy,The wellness program focuses on total health improvement.,Wellness is a goal.; Focus on total wellness.,
health,Strong,Having power and energy,Eating good food makes your body strong.,Stay strong.; Strong bodies last longer.,
health,Weak,Not having much strength,You feel weak when you don't eat enough.,Don't feel weak.; Weak people need help.,
health,Tired,Needing rest or sleep,Children feel tired after playing all day.,I'm tired now.; Tired people need rest.,
health,Energy,Power to be active,Good breakfast gives you energy for whole day.,I have energy.; Energy helps activity.,
health,Rest,Stop activity to relax,Take rest when you feel tired from work.,Get some rest.; Rest helps recovery.,
health,Clean,Free from dirt,Keep your hands clean to avoid getting sick.,Stay clean.; Clean things are healthy.,
health,Wash,Clean with water,Wash your hands before eating food.,Wash your hands.; Washing prevents germs.,
health,Hurt,Feel pain,Your knee will hurt if you fall down.,That might hurt.; Don't hurt yourself.,
health,Safe,Protected from danger,Wear helmet to keep your head safe.,Stay safe.; Safe places protect us.,
health,Danger,Possibility of harm,"Fire is danger, so stay away from it.",Avoid danger.; Danger can hurt people.,
